Dataset_Size,Precision,Recall,F1-Score,Accuracy,Processing_Time_sec
696,0.03380281690140845,0.00482897384305835,0.008450704225352112,0.8858648292633499,0.07880377769470215
695,0.06064880112834979,0.008651911468812877,0.01514351118154605,0.8864918618338272,0.06385350227355957
694,0.08757062146892655,0.012474849094567404,0.021838675589996477,0.8871207040221125,0.0811154842376709
693,0.1172316384180791,0.01670020120724346,0.02923564635435012,0.887812423674998,0.10374164581298828
692,0.11440677966101695,0.016297786720321932,0.02853117294822121,0.8875685371272497,0.11338019371032715
691,0.11440677966101695,0.016297786720321932,0.02853117294822121,0.8874055929781588,0.08804559707641602
690,0.11440677966101695,0.016297786720321932,0.02853117294822121,0.8872421758416975,0.12914276123046875
689,0.11440677966101695,0.016297786720321932,0.02853117294822121,0.8870782836554209,0.07645535469055176
688,0.0903954802259887,0.012877263581488933,0.022543148996125396,0.8862168645058122,0.10742545127868652
687,0.096045197740113,0.013682092555331992,0.023952095808383235,0.8862152506878003,0.055849552154541016
686,0.11581920903954802,0.016498993963782696,0.028883409651285663,0.8866248586408965,0.07870197296142578
685,0.14285714285714285,0.020321931589537223,0.035582173683283425,0.8872621695082777,0.06265687942504883
684,0.0903954802259887,0.012877263581488933,0.022543148996125396,0.8855504918235622,0.07944059371948242
683,0.19799139167862267,0.02857142857142857,0.0499366745069658,0.8900083787180562,0.09607076644897461
682,0.09025787965616046,0.013043478260869565,0.022793053545586108,0.886679253199077,0.09486627578735352
681,0.06095791001451379,0.008951406649616368,0.01561048132317413,0.8871057118499573,0.05772042274475098
680,0.05891016200294551,0.00877963125548727,0.015281757402101243,0.8883522481157411,0.05272388458251953
679,0.05891016200294551,0.00877963125548727,0.015281757402101243,0.8881875759153219,0.06338334083557129
678,0.030882352941176472,0.0046093064091308165,0.00802139037433155,0.887175254148927,0.06300020217895508
677,0.05891016200294551,0.00877963125548727,0.015281757402101243,0.8878567699269057,0.06346511840820312
676,0.08689248895434462,0.012949956101843723,0.022540592168099328,0.8885185185185185,0.06369733810424805
675,0.060294117647058824,0.008999122036874451,0.01566080977845684,0.8875458195147495,0.0635683536529541
674,0.0898379970544919,0.013388937664618086,0.023304680038204396,0.888274626343851,0.05860137939453125
673,0.11634756995581738,0.017339771729587356,0.030181470869149952,0.8888961834733894,0.06296920776367188
672,0.061855670103092786,0.009218612818261633,0.016045845272206302,0.8871087928464978,0.06352424621582031
671,0.061855670103092786,0.009218612818261633,0.016045845272206302,0.8869402985074627,0.06349682807922363
670,0.061855670103092786,0.009218612818261633,0.016045845272206302,0.8867713004484304,0.06584024429321289
669,0.061855670103092786,0.009218612818261633,0.016045845272206302,0.8866017964071856,0.06308102607727051
668,0.061855670103092786,0.009218612818261633,0.016045845272206302,0.886431784107946,0.0634920597076416
667,0.061855670103092786,0.009218612818261633,0.016045845272206302,0.8862612612612613,0.06432580947875977
666,0.061855670103092786,0.009218612818261633,0.016045845272206302,0.8860902255639098,0.06301522254943848
665,0.09131075110456553,0.013608428446005268,0.023686723973256923,0.8868045712260808,0.07335042953491211
664,0.09131075110456553,0.013608428446005268,0.023686723973256923,0.8866338390559844,0.08002281188964844
663,0.09131075110456553,0.013608428446005268,0.023686723973256923,0.8864625910787276,0.07914614677429199
